PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
3M4R	A	CAC11623.1	222.0		59.0	2303.0	thermoplasma_acidophilum	Archaea
1UU1	A	AAD36117.1	335.0		79.0	2336.0	thermotoga_maritima	Bacteria
2IZR	A	EAW48872.1	330.0		37.0	9606.0	homo_sapiens	Eukaryota
1PV8	A	AAA51687.1	330.0		37.0	9606.0	homo_sapiens	Eukaryota
1NN7	A	AAA40929.1	105.0			10116.0	rattus_norvegicus	Eukaryota
2C6Q	A	AAH93039.1	351.0		37.0	9606.0	homo_sapiens	Eukaryota
4O7Q	A	AAB81613.1	94.0		37.0	9606.0	homo_sapiens	Eukaryota
3HTV	A	AAC43178.1	310.0		36.0	83333.0	escherichia_coli	Bacteria
2F9Z	C	AAD35984.1	159.0		75.0	243274.0	thermotoga_maritima	Bacteria
1GL2	B	AAC15971.1	65.0			10090.0	mus_musculus	Eukaryota
1JSM	A	ABQ58920.1	325.0			11320.0	influenza_a	Virus
4DWR	B	BAA30714.1			95.0	53953.0	pyrococcus_horikoshii	Archaea
2WO3	B	AAC39577.1	157.0		37.0	9606.0	homo_sapiens	Eukaryota
3TGN	A	ABJ54931.1	146.0		37.0	373153.0	streptococcus_pneumoniae	Bacteria
4L5R	C	AAH18233.1	198.0			10090.0	mus_musculus	Eukaryota
3G2B	A	AAM42211.1	95.0		27.0	340.0	xanthomonas_campestris	Bacteria
3E8X	A	BAB05239.1	236.0		30.0	86665.0	bacillus_halodurans	Bacteria
2IFR	A	BAA12157.1	206.0		24.0	5539.0	scytalidium_lignicola	Eukaryota
3FYB	A	CAL15738.1	104.0		29.0	393595.0	alcanivorax_borkumensis	Bacteria
3US3	A	AAA31185.1	367.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
1ZN8	A	AAP45051.1	180.0		37.0	9606.0	homo_sapiens	Eukaryota
1OSC	A	CAE83916.1	126.0			10116.0	rattus_norvegicus	Eukaryota
4FK8	A	ABC38486.1	271.0		29.0	271848.0	burkholderia_thailandensis	Bacteria
4HW4	A	AAG00896.1	157.0		37.0	9606.0	homo_sapiens	Eukaryota
4JXU	A	CAC45543.2	295.0		28.0	266834.0	rhizobium_meliloti	Bacteria
3BC8	A	BAC28410.1	450.0			10090.0	mus_musculus	Eukaryota
3VUB	A	CAA25244.1	101.0		37.0	562.0	escherichia_coli	Bacteria
2XYQ	A	AAP82967.1	290.0			227859.0	human_sars	Virus
4PZU	A	AAK47850.1	256.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
3TFX	A	AAV43211.1	259.0		37.0	1579.0	lactobacillus_acidophilus	Bacteria
2GQR	A	CAA40662.1	237.0		37.0	562.0	escherichia_coli	Bacteria
4AEF	A	AAL82063.1	645.0		100.0	2261.0	pyrococcus_furiosus	Archaea
2OZE	A	CAA45932.1	298.0		37.0	1314.0	streptococcus_pyogenes	Bacteria
3HC1	A	AAR35672.1	305.0		30.0	35554.0	geobacter_sulfurreducens	Bacteria
3ZJA	A	CAC44689.1	140.0		27.0	1916.0	streptomyces_lividans	Bacteria
1GR0	A	CCP42768.1	367.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
4GZV	A	EDO13971.1	142.0		37.0	411476.0	bacteroides_ovatus	Bacteria
2O7A	A	AAD42568.1	124.0		37.0	10665.0	enterobacteria_phage	Virus
2IPQ	X	CAD06785.1	135.0					
3P57	P	EAW60408.1	112.0		37.0	9606.0	homo_sapiens	Eukaryota
2NX9	A	CAH04951.1	464.0		33.0	666.0	vibrio_cholerae	Bacteria
4NVT	A	ACO00916.1	262.0		37.0	546272.0	brucella_melitensis	Bacteria
3SJ6	A	ADK23804.1	246.0			3672.0	momordica_balsamina	Eukaryota
3L0F	B	BAC09509.1	172.0		55.0	197221.0	thermosynechococcus_elongatus	Bacteria
1B0N	A	CAB14392.1	111.0		35.0	1423.0	bacillus_subtilis	Bacteria
4JCO	A	AAV47474.1	304.0		45.0	2238.0	haloarcula_marismortui	Archaea
1JOG	A	AAC21759.1	146.0		37.0	727.0	haemophilus_influenzae	Bacteria
1BQY	B	AAC59686.1				39682.0	trimeresurus_stejnegeri	Eukaryota
2FUP	A	AAG06740.1	157.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1DCQ	A	AAH96022.1	278.0			10090.0	mus_musculus	Eukaryota
3HOI	A	CAH08712.1	193.0		37.0	272559.0	bacteroides_fragilis	Bacteria
3ZZO	A	AAL48174.1	95.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
4E17	B	AAH48163.1	40.0			10090.0	mus_musculus	Eukaryota
1XG4	A	AAB18055.1	295.0		37.0	562.0	escherichia_coli	Bacteria
1GO4	E	AAS07503.1	100.0		37.0	9606.0	homo_sapiens	Eukaryota
3B5N	C	DAA08107.1	70.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
1BVU	A	AAA72393.1	418.0		89.0	2265.0	thermococcus_litoralis	Archaea
2X5O	A	BAB96656.1	439.0		36.0	668369.0	escherichia_coli	Bacteria
1NOW	A	AAA68620.1	507.0		37.0	9606.0	homo_sapiens	Eukaryota
1FDJ	A	AAB42087.1	363.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
2AAL	A	CAC11007.1	131.0			47881.0	pseudomonas_pavonaceae	Bacteria
3A1J	A	BAG37745.1	266.0		37.0	9606.0	homo_sapiens	Eukaryota
1AQU	A	AAB34320.1	297.0			10090.0	mus_musculus	Eukaryota
1O9Y	A	AAS20443.1	84.0		26.0	317.0	pseudomonas_syringae	Bacteria
4J7R	A	AAP88032.1	840.0		23.0	3055.0	chlamydomonas_reinhardtii	Eukaryota
3DKP	A	BAA91812.1	245.0		37.0	9606.0	homo_sapiens	Eukaryota
4OGZ	A	CAH09862.1	473.0		37.0	272559.0	bacteroides_fragilis	Bacteria
1IRO	A	AAA23279.1	54.0		36.0	1501.0	clostridium_pasteurianum	Bacteria
4JDX	A	BAA18189.1	115.0		23.0	1111708.0	synechocystis_sp	Bacteria
2XY1	A	BAH13827.1	192.0		37.0	9606.0	homo_sapiens	Eukaryota
2QKL	B	CAB11648.1	95.0		27.5	4896.0	schizosaccharomyces_pombe	Eukaryota
3E6M	A	AAV97582.1	161.0		28.0	89184.0	ruegeria_pomeroyi	Bacteria
3DNH	A	AAK87876.1	258.0			176299.0	agrobacterium_fabrum	Bacteria
4I86	A	CAA38487.1	111.0		27.8	28448.0	komagataeibacter_xylinus	Bacteria
1G62	A	CAA95012.1	224.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
2PJZ	A	BAB66095.1	263.0		79.0	111955.0	sulfolobus_tokodaii	Archaea
4LSO	A	AAM43802.1	179.0		37.0	1134506.0	bartonella_quintana	Bacteria
3UUG	A	AAK88091.1	330.0			176299.0	agrobacterium_fabrum	Bacteria
1HKH	A	AAN39739.1	279.0			33882.0	microbacterium	Bacteria
2OFY	A	ABG95868.1	86.0		29.0	101510.0	rhodococcus_jostii	Bacteria
4MPC	A	AAH05811.1	400.0		37.0	9606.0	homo_sapiens	Eukaryota
1TVN	A	CAA76775.1	293.0		26.0	228.0	pseudoalteromonas_haloplanktis	Bacteria
4LJ9	A	BAA96085.1	339.0		71.0	300852.0	thermus_thermophilus	Bacteria
1TO2	I	CAA40350.1	64.0			112509.0	hordeum_vulgare	Eukaryota
2VQE	H	BAD71501.1	138.0		71.0	300852.0	thermus_thermophilus	Bacteria
1RYO	A	AAK77664.1	327.0		37.0	9606.0	homo_sapiens	Eukaryota
1KHD	A	AAL40875.1	345.0		27.0	554.0	pectobacterium_carotovorum	Bacteria
2IIH	A	BAD71612.1	157.0		71.0	300852.0	thermus_thermophilus	Bacteria
2C3N	A	BAB39498.1	247.0		37.0	9606.0	homo_sapiens	Eukaryota
2D0J	A	AAL57718.1	246.0		37.0	9606.0	homo_sapiens	Eukaryota
3VNY	A	ACO32043.1	488.0		30.0	240015.0	acidobacterium_capsulatum	Bacteria
4X84	A	AAG03719.1	231.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
3ETZ	A	AAW33965.1	119.0		37.0	851.0	fusobacterium_nucleatum	Bacteria
6PAX	A	AAA36416.1	133.0		37.0	9606.0	homo_sapiens	Eukaryota
3PUA	A	EAW62867.1	392.0		37.0	9606.0	homo_sapiens	Eukaryota
1OZN	A	AAH11787.1	285.0		37.0	9606.0	homo_sapiens	Eukaryota
2Y5S	A	CAR51570.1	294.0		30.0	95486.0	burkholderia_cenocepacia	Bacteria
3LMC	A	ABN06614.1	210.0		37.0	410358.0	methanocorpusculum_labreanum	Archaea
3AG3	H	AAI02367.1	85.0			9913.0	bos_taurus	Eukaryota
3QRB	A	CAA29645.1	213.0			10090.0	mus_musculus	Eukaryota
2NWV	A	ABA22927.1	114.0		26.0	1172.0	anabaena_variabilis	Bacteria
4P8S	A	AAP21837.1	282.0			10116.0	rattus_norvegicus	Eukaryota
4WTW	A	AAC51632.1	96.0		37.0	9606.0	homo_sapiens	Eukaryota
4J7Z	A	BAD71312.1	113.0		71.0	300852.0	thermus_thermophilus	Bacteria
1Q0P	A	AAK30167.1	223.0		37.0	9606.0	homo_sapiens	Eukaryota
3S4Y	A	AAK01351.1	247.0		37.0	9606.0	homo_sapiens	Eukaryota
1X38	A	AAD23382.1	602.0			4513.0	hordeum_vulgare	Eukaryota
1YZ4	A	AAH56911.1	160.0		37.0	9606.0	homo_sapiens	Eukaryota
1VLV	A	AAD36173.1	325.0		79.0	2336.0	thermotoga_maritima	Bacteria
2AVD	A	AAH23663.1	229.0		37.0	9606.0	homo_sapiens	Eukaryota
4LNP	A	AAB93496.1	61.0		37.0	9606.0	homo_sapiens	Eukaryota
3IWP	A	AAH21105.1	287.0		37.0	9606.0	homo_sapiens	Eukaryota
1J5X	A	AAD35895.1	342.0		79.0	2336.0	thermotoga_maritima	Bacteria
3IV4	A	BAB41929.1	112.0		37.0	158879.0	staphylococcus_aureus	Bacteria
3PM7	A	AAO82810.1	80.0		36.3	1351.0	enterococcus_faecalis	Bacteria
4EQB	A	ADI69389.1	330.0		37.0	525381.0	streptococcus_pneumoniae	Bacteria
3DUI	A	BAA00214.1	135.0		41.0	9031.0	gallus_gallus	Eukaryota
2NQB	D	AAZ66556.1	123.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
1JSU	C	AAV38361.1	84.0		37.0	9606.0	homo_sapiens	Eukaryota
3RLO	A	AAH17059.1	204.0		37.0	9606.0	homo_sapiens	Eukaryota
2QTZ	A	AAH54816.2	539.0		37.0	9606.0	homo_sapiens	Eukaryota
3NTD	A	ABO22601.1	565.0		21.0	323850.0	shewanella_loihica	Bacteria
3HJB	A	AAF93547.1	574.0		33.0	666.0	vibrio_cholerae	Bacteria
3D89	A	BAC30553.1	157.0			10090.0	mus_musculus	Eukaryota
1QU9	A	BAE78242.1	128.0		37.0	562.0	escherichia_coli	Bacteria
4O0K	A	ACO02107.1	329.0		37.0	546272.0	brucella_melitensis	Bacteria
1W2L	A	CAC08531.1	99.0		65.0	29549.0	rhodothermus_marinus	Bacteria
4R9N	A	CAC98626.1	254.0		35.0	169963.0	listeria_monocytogenes	Bacteria
1Y7L	A	AAC22758.1	316.0		37.0	727.0	haemophilus_influenzae	Bacteria
3A28	C	BAA36159.1			30.0	1718.0	corynebacterium_glutamicum	Bacteria
3FWB	A	CAA99479.1	161.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4X2U	A	CAA70301.2	889.0		37.0	186763.0	plasmodium_falciparum	Eukaryota
4NDO	A	ACO80441.1	276.0		29.0	322710.0	azotobacter_vinelandii	Bacteria
4WK0	A	AAA52467.1	452.0		37.0	9606.0	homo_sapiens	Eukaryota
1IQ6	A	BAA21816.1	134.0		32.0	648.0	aeromonas_caviae	Bacteria
3EUP	A	ABG60110.1	204.0		29.0	269798.0	cytophaga_hutchinsonii	Bacteria
3EOT	L	CAA24189.1	215.0			10090.0	mus_musculus	Eukaryota
3EZL	A	ABA50170.1	256.0		37.0	320372.0	burkholderia_pseudomallei	Bacteria
2RAU	A	AAK42649.1	354.0		74.0	273057.0	sulfolobus_solfataricus	Archaea
4I6R	A	AAO16093.1	82.0		30.0	211595.0	enterobacter_sp	Bacteria
2BT9	A	CAD15814.1	90.0		29.0	305.0	ralstonia_solanacearum	Bacteria
4JCG	A	AAB46987.1	81.0		28.0	228410.0	nitrosomonas_europaea	Bacteria
2QRL	A	CAA86194.1	394.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4CL2	A	ACT57010.1	275.0			537021.0	liberibacter_asiaticus	Bacteria
2OA2	A	BAB06439.1	148.0		30.0	86665.0	bacillus_halodurans	Bacteria
4X00	A	CAR52833.1	283.0		30.0	216591.0	burkholderia_cenocepacia	Bacteria
3T7D	A	ABC67269.1	497.0		27.0	264445.0	streptomyces_hygroscopicus	Bacteria
4F7H	A	CAD61925.1	173.0		37.0	9606.0	homo_sapiens	Eukaryota
1NEY	A	AAS55980.1	247.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
1Z54	A	BAD70731.1	132.0		71.0	300852.0	thermus_thermophilus	Bacteria
1SVF	A	AAA47881.1	64.0			11208.0	parainfluenza_virus	Virus
1RZ4	A	AAD27784.1	226.0		37.0	9606.0	homo_sapiens	Eukaryota
2Z0M	A	BAB67570.1	337.0		79.0	111955.0	sulfolobus_tokodaii	Archaea
2CCQ	A	AAH00963.1	99.0		37.0	9606.0	homo_sapiens	Eukaryota
2G17	A	AAL22960.1	337.0			99287.0	salmonella_typhimurium	Bacteria
4Q1Q	A	CBJ01643.1	305.0		36.0	316401.0	escherichia_coli	Bacteria
4PVC	A	DAA10635.1	342.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
2ETJ	A	AAD35996.1	250.0		79.0	2336.0	thermotoga_maritima	Bacteria
4PD0	A	CAA47009.2	419.0			10116.0	rattus_norvegicus	Eukaryota
1R6V	A	AAK61552.1	671.0		65.0	93466.0	fervidobacterium_pennivorans	Bacteria
2HK9	A	AAC07007.1	275.0		90.0	63363.0	aquifex_aeolicus	Bacteria
2VG0	A	CCP43837.1	227.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
1ZUO	A	BAH12288.1	186.0		37.0	9606.0	homo_sapiens	Eukaryota
3FK8	A	AAO28893.1	133.0		27.0	183190.0	xylella_fastidiosa	Bacteria
1FX4	A	CAA36366.1	231.0		30.0	5691.0	trypanosoma_brucei	Eukaryota
3CJE	A	ABD54957.1	167.0			290400.0	jannaschia_sp	Bacteria
2QSJ	A	AAV95629.1	154.0		28.0	246200.0	ruegeria_pomeroyi	Bacteria
2VRS	A	AAK18188.1	211.0			38170.0	avian_orthoreovirus	Virus
3CCY	A	CAE38125.1	203.0		37.0	257311.0	bordetella_parapertussis	Bacteria
2C36	A	CAA26060.1	285.0			10298.0	human_herpesvirus	Virus
3CGL	A	AAF03370.1	243.0			105400.0	discosoma_striata	Eukaryota
1U3H	A	AAL08199.1	110.0			10090.0	mus_musculus	Eukaryota
3WTG	A	BAH97087.1	142.0			8790.0	dromaius_novaehollandiae	Eukaryota
4DA2	A	AAL81322.1	231.0		96.0	186497.0	pyrococcus_furiosus	Archaea
1P2F	A	AAD35220.1	220.0		79.0	2336.0	thermotoga_maritima	Bacteria
4ID3	A	CAA65033.1	92.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
2NR4	A	AAM31549.1	213.0		36.0	2209.0	methanosarcina_mazei	Archaea
2A97	A	AAA23263.1	439.0		37.0	1491.0	clostridium_botulinum	Bacteria
1A70	A	AAA34028.1	97.0	70.0		3562.0	spinacia_oleracea	Eukaryota
4Q20	A	AAK25446.1	268.0			190650.0	caulobacter_crescentus	Bacteria
3KYZ	A	AAG06075.1	125.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1X1Q	A	CAA41527.1	418.0		71.0	300852.0	thermus_thermophilus	Bacteria
1T11	A	AAF95071.1	392.0		33.0	666.0	vibrio_cholerae	Bacteria
4MTH	A	BAA02728.1	139.0		37.0	9606.0	homo_sapiens	Eukaryota
1OJ5	A	AAH80866.1	132.0			10090.0	mus_musculus	Eukaryota
1BXB	A	BAA14301.1	387.0		71.0	300852.0	thermus_thermophilus	Bacteria
3QTM	A	CAB60681.1	346.0		27.5	4896.0	schizosaccharomyces_pombe	Eukaryota
3NRE	A	AAC75597.1	291.0		36.0	83333.0	escherichia_coli	Bacteria
1GQA	A	ABA79646.1	130.0		31.0	1063.0	rhodobacter_sphaeroides	Bacteria
1R9O	A	AAB23864.2	477.0		37.0	9606.0	homo_sapiens	Eukaryota
3JQY	B	CAH04000.1			37.0	562.0	escherichia_coli	Bacteria
3R9Z	A	ADI77438.1	178.0			4113.0	solanum_tuberosum	Eukaryota
1HPC	A	CAA37704.1	131.0			3888.0	pisum_sativum	Eukaryota
1F8E	A	AAA43353.1	388.0			384509.0	influenza_a	Virus
4FYE	A	AAU28642.1	761.0		37.0	272624.0	legionella_pneumophila	Bacteria
2AH5	A	AAK74291.1	210.0		37.0	170187.0	streptococcus_pneumoniae	Bacteria
3HLX	A	ABR77242.1	258.0		34.0	272620.0	klebsiella_pneumoniae	Bacteria
1WND	A	BAA15073.1	495.0		36.0	83333.0	escherichia_coli	Bacteria
3V8H	A	AIP24092.1	327.0		29.0	271848.0	burkholderia_thailandensis	Bacteria
4QRO	A	ABE43991.1	348.0		25.0	296591.0	polaromonas_sp	Bacteria
1PLQ	A	CAA85038.1	258.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
1RPN	A	AAG08838.1	335.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1SU8	A	ABB15588.1	636.0		68.0	129958.0	carboxydothermus_hydrogenoformans	Bacteria
2WQ7	A	AAL90322.1	543.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
3EU8	A	CAH06109.1	430.0		37.0	272559.0	bacteroides_fragilis	Bacteria
3IG3	A	AAH93482.1	627.0			10090.0	mus_musculus	Eukaryota
3KB4	A	BAB77462.1	225.0		23.0	103690.0	nostoc_sp	Bacteria
3ECR	A	BAF82964.1	364.0		37.0	9606.0	homo_sapiens	Eukaryota
1J5Y	A	AAD36669.1	187.0		79.0	2336.0	thermotoga_maritima	Bacteria
3SUJ	A	ABZ03961.1	127.0		25.0	153609.0	moniliophthora_perniciosa	Eukaryota
3C4N	A	AAF10152.1	405.0		30.0	243230.0	deinococcus_radiodurans	Bacteria
1T3U	A	AAG08612.1	104.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
1PUE	E	CAA36281.1	89.0			10090.0	mus_musculus	Eukaryota
2P8I	A	ABE35719.1	117.0		30.0	266265.0	paraburkholderia_xenovorans	Bacteria
3WMT	A	BAE56626.1	522.0		25.0	510516.0	aspergillus_oryzae	Eukaryota
1JFR	A	AAB51445.1	262.0		28.0	1905.0	streptomyces_exfoliatus	Bacteria
4P47	A	ABS17129.1	345.0		30.0	439375.0	ochrobactrum_anthropi	Bacteria
4WUI	A	ACV08556.1	207.0		34.0	471856.0	jonesia_denitrificans	Bacteria
1POC	A	CAA34681.1	134.0			7460.0	apis_mellifera	Eukaryota
2PV4	A	ABM00825.1	145.0		31.0	326297.0	shewanella_amazonensis	Bacteria
4C65	A	CAK41945.1	438.0		26.0	5061.0	aspergillus_niger	Eukaryota
3GYG	A	CAA74473.1	289.0		46.0	224308.0	bacillus_subtilis	Bacteria
4P2X	A	AAB70274.1	257.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
3Q63	A	BAB49428.1	151.0		26.0	266835.0	rhizobium_loti	Bacteria
3UFB	A	BAC93030.1	530.0		32.0	196600.0	vibrio_vulnificus	Bacteria
2QSW	A	AAO82214.1	100.0		37.0	226185.0	enterococcus_faecalis	Bacteria
3IQT	A	AAN81797.1	123.0		36.0	199310.0	escherichia_coli	Bacteria
3T3L	A	AAD00734.1	129.0		37.0	9606.0	homo_sapiens	Eukaryota
3QBT	B	BAE02133.1	140.0		37.0	9606.0	homo_sapiens	Eukaryota
4U5X	A	BAS71158.1	178.0			39947.0	oryza_sativa	Eukaryota
2CNT	A	AAL23373.1	160.0			99287.0	salmonella_typhimurium	Bacteria
2YFV	A	CAH01608.1	100.0		25.0	284590.0	kluyveromyces_lactis	Eukaryota
1Y0U	A	AAB91060.1	96.0		81.0	224325.0	archaeoglobus_fulgidus	Archaea
4J0X	A	AAB68277.1	451.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
2A4D	A	AAP36046.1	160.0		37.0	9606.0	homo_sapiens	Eukaryota
2VWS	A	BAA16064.2	267.0		36.0	83333.0	escherichia_coli	Bacteria
4AT7	B	BAC36863.1	383.0			10090.0	mus_musculus	Eukaryota
1K7H	B	CAC35697.1				6703.0	pandalus_borealis	Eukaryota
2H1E	A	AAB64691.1	177.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3V8D	A	AAA58435.1	491.0		37.0	9606.0	homo_sapiens	Eukaryota
2DQU	L	AAC52821.1	219.0			10090.0	mus_musculus	Eukaryota
4GAC	A	AAH39926.1	324.0			10090.0	mus_musculus	Eukaryota
3GE3	A	AAS66660.1	500.0		34.0	300.0	pseudomonas_mendocina	Bacteria
3CKY	A	ABC88394.1	301.0		36.5	1528.0	eubacterium_barkeri	Bacteria
3N74	A	CAJ13141.1	261.0		37.0	359391.0	brucella_abortus	Bacteria
3H08	A	AAG12419.1	146.0		48.0	1097.0	chlorobaculum_tepidum	Bacteria
1U5X	A	AAG22534.1	140.0			10090.0	mus_musculus	Eukaryota
3CH0	A	ABG58282.1	272.0		29.0	269798.0	cytophaga_hutchinsonii	Bacteria
2E2E	A	AAG59274.1	177.0		37.0	562.0	escherichia_coli	Bacteria
3T7V	A	AAZ69814.1	350.0		35.0	269797.0	methanosarcina_barkeri	Archaea
4F5S	A	AAI42273.1	583.0			9913.0	bos_taurus	Eukaryota
3M7O	A	BAA32399.1	162.0			10090.0	mus_musculus	Eukaryota
1H5B	A	AAA93055.1	113.0			10090.0	mus_musculus	Eukaryota
3JSC	A	AAO38253.1	105.0		28.0	668.0	aliivibrio_fischeri	Bacteria
2FNO	A	AAK90883.2	248.0			176299.0	agrobacterium_fabrum	Bacteria
3N9T	A	ACN43573.2	290.0		27.2	303.0	pseudomonas_putida	Bacteria
3MQQ	A	ABN84030.1	120.0		29.0	271848.0	burkholderia_thailandensis	Bacteria
3EYX	A	CAA95901.1	216.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3AJ7	A	DAA08375.1	589.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3LYU	A	AAL82035.1	142.0		100.0	2261.0	pyrococcus_furiosus	Archaea
3EBB	A	CAB42881.1	304.0		37.0	9606.0	homo_sapiens	Eukaryota
1WLJ	A	AAB53416.1	189.0		37.0	9606.0	homo_sapiens	Eukaryota
1VQ3	A	AAD36319.1	94.0		75.0	243274.0	thermotoga_maritima	Bacteria
1ZCH	A	CAB12194.1	255.0		35.0	1423.0	bacillus_subtilis	Bacteria
1VMA	A	AAD35655.1	306.0		79.0	2336.0	thermotoga_maritima	Bacteria
2EX4	A	AAH33234.1	241.0		37.0	9606.0	homo_sapiens	Eukaryota
2FA1	A	BAE78105.1	160.0		37.0	562.0	escherichia_coli	Bacteria
1SDO	A	AAO48714.1	203.0		65.0	1422.0	geobacillus_stearothermophilus	Bacteria
4MDY	A	ABK71591.1	295.0		36.0	246196.0	mycobacterium_smegmatis	Bacteria
3D0W	A	CAB12597.1	104.0		35.0	1423.0	bacillus_subtilis	Bacteria
1VQO	V	AAA86866.1	71.0		45.0	2238.0	haloarcula_marismortui	Archaea
2WZO	A	CAD28450.1	146.0		37.0	9606.0	homo_sapiens	Eukaryota
4EE9	A	ACO55737.1	321.0			77133.0	uncultured_bacterium	Bacteria
1TX4	A	EAW67984.1	198.0		37.0	9606.0	homo_sapiens	Eukaryota
2BYK	A	CAB70603.1	140.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
4ATM	A	AAC02977.1	243.0		37.0	9606.0	homo_sapiens	Eukaryota
1GVH	A	AAC75605.1	396.0		37.0	562.0	escherichia_coli	Bacteria
4BVN	A	AAA49627.1	315.0		41.0	9103.0	meleagris_gallopavo	Eukaryota
3KKC	A	KLL28285.1	177.0		37.0	208435.0	streptococcus_agalactiae	Bacteria
3A7I	A	AAH35578.1	303.0		37.0	9606.0	homo_sapiens	Eukaryota
2I0W	A	AAC64171.1	207.0			4081.0	solanum_lycopersicum	Eukaryota
4ORI	A	CAA56765.1	372.0			10116.0	rattus_norvegicus	Eukaryota
3F43	A	AAD36158.1	125.0		79.0	2336.0	thermotoga_maritima	Bacteria
4MHX	A	AAA86530.1	510.0		37.0	9606.0	homo_sapiens	Eukaryota
1UAR	A	BAD70851.1	285.0		72.0	274.0	thermus_thermophilus	Bacteria
4MEW	A	AAH63429.1	356.0		37.0	9606.0	homo_sapiens	Eukaryota
1R6U	A	AAA61298.1	437.0		37.0	9606.0	homo_sapiens	Eukaryota
2IDR	A	CAA78262.2	177.0			4565.0	triticum_aestivum	Eukaryota
1NS5	A	AAN42281.1	155.0		37.0	562.0	escherichia_coli	Bacteria
4CRR	A	CAZ95067.1	132.0		34.0	63186.0	zobellia_galactanivorans	Bacteria
4FYY	B	BAE78243.1	153.0		36.0	83333.0	escherichia_coli	Bacteria
2PIE	A	EAX03945.1	138.0		37.0	9606.0	homo_sapiens	Eukaryota
2HIG	A	AAC47836.1	487.0		30.0	5691.0	trypanosoma_brucei	Eukaryota
4B0T	A	CAF21502.1	493.0		30.0	1718.0	corynebacterium_glutamicum	Bacteria
3GNN	A	ABA49012.1	298.0		37.0	320372.0	burkholderia_pseudomallei	Bacteria
3D4I	A	BAE20600.1	273.0			10090.0	mus_musculus	Eukaryota
4MPM	A	AAF62557.1	151.0		37.0	9606.0	homo_sapiens	Eukaryota
1UXX	X	AAC04579.1	133.0			1515.0	clostridium_thermocellum	Bacteria
4BWN	A	AAV38427.1	110.0		37.0	9606.0	homo_sapiens	Eukaryota
2CCV	A	ABC69854.1	101.0			6536.0	helix_pomatia	Eukaryota
2C81	A	BAE07061.1	418.0		32.0	1397.0	bacillus_circulans	Bacteria
3KKG	A	ABD54217.1	146.0			290400.0	jannaschia_sp	Bacteria
1L3A	A	AAF91282.1	227.0			4113.0	solanum_tuberosum	Eukaryota
3Q80	A	CCP46405.1	231.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
2WW5	A	AAL00235.1	468.0		37.0	171101.0	streptococcus_pneumoniae	Bacteria
3BRV	A	BAG64556.1	48.0		37.0	9606.0	homo_sapiens	Eukaryota
1IAZ	A	AAC47005.1	179.0			6106.0	actinia_equina	Eukaryota
2P5M	A	AAA22208.1	83.0		35.0	1423.0	bacillus_subtilis	Bacteria
1PGV	A	CCD61217.1	197.0			6239.0	caenorhabditis_elegans	Eukaryota
1L74	A	AAD42568.1	164.0		37.0	10665.0	enterobacteria_phage	Virus
3M6W	A	BAD71210.1	464.0		71.0	300852.0	thermus_thermophilus	Bacteria
4OZU	A	AAU93915.1	394.0		35.0	5811.0	toxoplasma_gondii	Eukaryota
3VRG	B	ACV41408.1	146.0			37349.0	mammuthus_primigenius	Eukaryota
4U5W	B	AAI13855.2	180.0		37.0	9606.0	homo_sapiens	Eukaryota
2P97	A	ABA22677.1	201.0		22.0	240292.0	anabaena_variabilis	Bacteria
1KNZ	A	CAA25102.1	164.0			10923.0	simian_rotavirus	Virus
4KPQ	A	ABI84566.1	327.0			384499.0	influenza_a	Virus
2GHV	E	BAC81404.1				227859.0	human_sars	Virus
2OSO	A	AAB99471.1	163.0		80.0	243232.0	methanocaldococcus_jannaschii	Archaea
1YXH	A	AAR16428.1	126.0			195058.0	naja_sagittifera	Eukaryota
